Year,Deaths,accidents
1970,"2,226",298
1971,"2,228",271
1972,"3,346",344
1973,"2,814",333
1974,"2,621",270
1975,"1,856",316
1976,"2,419",277
1977,"2,449",340
1978,"2,042",356
1979,"2,511",328
1980,"2,203",325
1981,"1,506",272
1982,"1,958",250
1983,"1,921",238
1984,"1,273",234
1985,"2,968",261
1986,"1,763",238
1987,"2,064",277
1988,"2,313",254
1989,"2,507",265
1990,"1,631",261
1991,"1,957",240
1992,"2,299",266
1993,"1,760",275
1994,"2,018",231
1995,"1,828",266
1996,"2,796",251
1997,"1,768",232
1998,"1,721",225
1999,"1,150",221
2000,"1,586",198
2001,"1,539",210
2002,"1,418",197
2003,"1,233",201
2004,767,178
2005,"1,463",194
2006,"1,298",192
2007,981,169
2008,952,189
2009,"1,108",163
2010,"1,130",162
2011,828,154
2012,800,156
2013,459,138
2014,"1,328",122
2015,898,123
2016,629,102
2017,399,101
2018,"1,040",113
2019,578,125
