DATE,millions of Dollars
1992/1/1,50251
1992/2/1,51682
1992/3/1,50294
1992/4/1,50302
1992/5/1,50044
1992/6/1,51727
1992/7/1,52533
1992/8/1,50940
1992/9/1,51984
1992/10/1,53035
1992/11/1,52246
1992/12/1,51843
1993/1/1,52568
1993/2/1,52480
1993/3/1,53035
1993/4/1,53139
1993/5/1,54229
1993/6/1,52346
1993/7/1,52818
1993/8/1,53224
1993/9/1,53648
1993/10/1,55476
1993/11/1,54345
1993/12/1,55552
1994/1/1,55159
1994/2/1,53729
1994/3/1,58307
1994/4/1,56436
1994/5/1,57342
1994/6/1,58451
1994/7/1,58492
1994/8/1,60407
1994/9/1,60715
1994/10/1,59861
1994/11/1,61532
1994/12/1,62825
1995/1/1,63118
1995/2/1,63077
1995/3/1,64349
1995/4/1,65074
1995/5/1,65755
1995/6/1,64855
1995/7/1,66560
1995/8/1,67469
1995/9/1,68943
1995/10/1,68105
1995/11/1,68009
1995/12/1,69071
1996/1/1,68299
1996/2/1,69899
1996/3/1,69797
1996/4/1,70126
1996/5/1,71029
1996/6/1,71056
1996/7/1,69404
1996/8/1,70563
1996/9/1,70553
1996/10/1,73769
1996/11/1,74263
1996/12/1,72842
1997/1/1,72910
1997/2/1,75225
1997/3/1,77050
1997/4/1,77769
1997/5/1,77883
1997/6/1,78889
1997/7/1,80099
1997/8/1,78622
1997/9/1,79287
1997/10/1,79383
1997/11/1,78300
1997/12/1,79038
1998/1/1,79008
1998/2/1,77931
1998/3/1,78812
1998/4/1,77626
1998/5/1,77147
1998/6/1,76961
1998/7/1,76149
1998/8/1,75512
1998/9/1,77179
1998/10/1,79351
1998/11/1,79117
1998/12/1,78382
1999/1/1,78473
1999/2/1,78212
1999/3/1,78701
1999/4/1,79530
1999/5/1,79539
1999/6/1,79808
1999/7/1,81122
1999/8/1,82645
1999/9/1,83727
1999/10/1,83942
1999/11/1,84633
1999/12/1,86192
2000/1/1,86001
2000/2/1,86540
2000/3/1,88115
2000/4/1,89359
2000/5/1,88958
2000/6/1,91635
2000/7/1,91195
2000/8/1,93112
2000/9/1,92896
2000/10/1,92177
2000/11/1,91919
2000/12/1,91055
2001/1/1,90796
2001/2/1,91101
2001/3/1,89251
2001/4/1,87903
2001/5/1,88476
2001/6/1,85938
2001/7/1,83202
2001/8/1,83882
2001/9/1,79509
2001/10/1,79062
2001/11/1,78446
2001/12/1,77800
2002/1/1,79260
2002/2/1,79264
2002/3/1,80344
2002/4/1,82072
2002/5/1,82427
2002/6/1,83563
2002/7/1,83724
2002/8/1,83689
2002/9/1,83487
2002/10/1,82767
2002/11/1,83919
2002/12/1,81578
2003/1/1,82513
2003/2/1,83094
2003/3/1,83157
2003/4/1,82565
2003/5/1,82630
2003/6/1,85174
2003/7/1,85943
2003/8/1,84906
2003/9/1,86968
2003/10/1,88890
2003/11/1,91323
2003/12/1,91023
2004/1/1,90564
2004/2/1,94131
2004/3/1,96707
2004/4/1,96398
2004/5/1,98197
2004/6/1,95773
2004/7/1,96907
2004/8/1,97295
2004/9/1,98782
2004/10/1,100494
2004/11/1,100090
2004/12/1,102781
2005/1/1,103206
2005/2/1,104010
2005/3/1,105097
2005/4/1,107268
2005/5/1,107080
2005/6/1,107033
2005/7/1,107082
2005/8/1,108475
2005/9/1,107156
2005/10/1,109813
2005/11/1,111462
2005/12/1,113822
2006/1/1,115831
2006/2/1,116871
2006/3/1,118820
2006/4/1,119611
2006/5/1,121155
2006/6/1,122726
2006/7/1,120430
2006/8/1,122780
2006/9/1,124051
2006/10/1,125533
2006/11/1,127388
2006/12/1,128795
2007/1/1,130648
2007/2/1,129481
2007/3/1,133836
2007/4/1,133351
2007/5/1,135835
2007/6/1,137312
2007/7/1,138545
2007/8/1,141518
2007/9/1,142070
2007/10/1,144525
2007/11/1,146264
2007/12/1,147429
2008/1/1,151094
2008/2/1,153660
2008/3/1,152900
2008/4/1,157362
2008/5/1,159082
2008/6/1,164073
2008/7/1,166232
2008/8/1,163335
2008/9/1,154611
2008/10/1,151854
2008/11/1,142973
2008/12/1,132410
2009/1/1,125858
2009/2/1,127893
2009/3/1,126478
2009/4/1,125323
2009/5/1,127342
2009/6/1,129796
2009/7/1,131878
2009/8/1,132566
2009/9/1,137047
2009/10/1,141056
2009/11/1,142075
2009/12/1,145480
2010/1/1,145718
2010/2/1,146849
2010/3/1,151080
2010/4/1,150006
2010/5/1,153819
2010/6/1,153326
2010/7/1,156763
2010/8/1,157769
2010/9/1,158624
2010/10/1,164234
2010/11/1,165621
2010/12/1,168510
2011/1/1,169897
2011/2/1,168665
2011/3/1,176676
2011/4/1,178838
2011/5/1,178856
2011/6/1,176895
2011/7/1,181502
2011/8/1,182475
2011/9/1,183858
2011/10/1,182681
2011/11/1,180798
2011/12/1,182411
2012/1/1,182425
2012/2/1,185085
2012/3/1,188511
2012/4/1,187092
2012/5/1,187375
2012/6/1,187247
2012/7/1,186714
2012/8/1,184999
2012/9/1,191182
2012/10/1,186133
2012/11/1,188461
2012/12/1,192226
2013/1/1,190293
2013/2/1,192452
2013/3/1,189874
2013/4/1,190619
2013/5/1,189852
2013/6/1,192934
2013/7/1,192136
2013/8/1,192458
2013/9/1,192512
2013/10/1,196476
2013/11/1,197292
2013/12/1,196338
2014/1/1,195778
2014/2/1,195041
2014/3/1,199537
2014/4/1,199029
2014/5/1,201388
2014/6/1,200482
2014/7/1,200725
2014/8/1,202191
2014/9/1,199520
2014/10/1,201339
2014/11/1,198857
2014/12/1,198380
2015/1/1,194246
2015/2/1,191911
2015/3/1,192245
2015/4/1,193045
2015/5/1,191824
2015/6/1,191404
2015/7/1,190758
2015/8/1,188003
2015/9/1,189036
2015/10/1,187657
2015/11/1,185243
2015/12/1,184371
2016/1/1,181109
2016/2/1,183276
2016/3/1,181881
2016/4/1,183553
2016/5/1,184230
2016/6/1,186019
2016/7/1,186950
2016/8/1,189893
2016/9/1,190772
2016/10/1,189359
2016/11/1,187896
2016/12/1,192986
2017/1/1,195456
2017/2/1,196060
2017/3/1,195377
2017/4/1,195251
2017/5/1,194910
2017/6/1,197013
2017/7/1,196432
2017/8/1,198212
2017/9/1,200589
2017/10/1,202314
2017/11/1,206199
2017/12/1,209576
2018/1/1,207127
2018/2/1,209943
2018/3/1,213279
2018/4/1,212096
2018/5/1,215032
2018/6/1,212549
2018/7/1,210606
2018/8/1,210833
2018/9/1,213188
2018/10/1,214322
2018/11/1,211465
2018/12/1,208944
2019/1/1,210243
2019/2/1,210809
2019/3/1,213157
2019/4/1,209288
2019/5/1,212852
2019/6/1,209254
2019/7/1,210462
2019/8/1,210517
2019/9/1,209210
2019/10/1,210403
2019/11/1,210571
2019/12/1,211496
2020/1/1,210446
2020/2/1,211752
2020/3/1,190184
